"","light_phase","network","block","treatment","day","time","location","focal_individual","behaviour","social_partner","partner_response","notes","patch_partner"
"163","dark",1,1,"twelve",1,"2:08 PM","6","L","Enter 6","unknown","","",NA
"164","dark",1,1,"twelve",1,"2:09 PM","11","O","Enter 11","unknown","","",NA
"165","dark",1,1,"twelve",1,"2:09 PM","10","D","Enter 10","unknown","","",NA
"166","dark",1,1,"twelve",1,"2:10 PM","Outside 10","L","mating","S","Walk around","","S"
"167","dark",1,1,"twelve",1,"2:12 PM","Feeder","C","mount","B","Run away","","B"
"168","dark",1,1,"twelve",1,"2:14 PM","6","W","Enter  6","unknown","","",NA
"169","dark",1,1,"twelve",1,"2:14 PM","Feeder","C","Attempt feeding","unknown","","",NA
"170","dark",1,1,"twelve",1,"2:17 PM","Feeder","U","Attempt feeding","unknown","","",NA
"171","dark",1,1,"twelve",1,"2:17 PM","Open","B","mount","U","Ran away",".9 also mounted them which broke up the mounting","U"
"172","dark",1,1,"twelve",1,"2:17PM","open","J","mount","B","unknown",".1 was mounted on 8.","B"
"173","dark",1,1,"twelve",1,"2:18 PM","Open","L","mount","X","Ran away","0","X"
"174","dark",1,1,"twelve",1,"2:19 PM","8","X","Enter 8","unknown","","",NA
"175","dark",1,1,"twelve",1,"2:22 PM","8","X","Exit 8","unknown","","",NA
"176","dark",1,1,"twelve",1,"2:22 PM","2","X","Enter 2","unknown","","",NA
"177","dark",1,1,"twelve",1,"2:26 PM","7","L","Enter 7","unknown","","not sure when this aggregation formed",NA
"178","dark",1,1,"twelve",1,"2:30 PM","Feeder","A","feeding","unknown","","",NA
"179","dark",1,1,"twelve",1,"2:30 PM","Feeder","T","feeding","unknown","","Feeding again",NA
"180","dark",1,1,"twelve",1,"2:32 PM","6","A","Enter 6","unknown","","",NA
"181","dark",1,1,"twelve",1,"2:33 PM","Feeder","T","feeding","unknown","","Feeding again",NA
"182","dark",1,1,"twelve",1,"2:35 PM","Feeder","B","mount","T","Continued feeding","","T"
"183","dark",1,1,"twelve",1,"2:37 PM","Open","B","mount","L","","","L"
"184","dark",1,1,"twelve",1,"2:38 PM","Feeder","X","feeding","unknown","","Feeding again",NA
"185","dark",1,1,"twelve",1,"2:41 PM","7","F","Left 7","unknown","","",NA
"186","dark",1,1,"twelve",1,"2:42 PM","Open","H","mating","U","","","U"
"187","dark",1,1,"twelve",1,"2:43 PM","7","B","Left 7","B","","","B"
"188","dark",1,1,"twelve",1,"2:44 PM","9","X","Enter 9","unknown","","",NA
"189","dark",1,1,"twelve",1,"2:49 PM","7","S","Exit 6","unknown","","",NA
"190","dark",1,1,"twelve",1,"3:06 PM","Open","B","mating","R","Walking around","","R"
"191","dark",1,1,"twelve",1,"3:07 PM","12","S","Enter 12","unknown","","",NA
"192","dark",1,1,"twelve",1,"3:08 PM","4","X","Exit 4","unknown","","",NA
"193","dark",1,1,"twelve",1,"3:08 PM","10","X","Enter 10","I","","","I"
"194","dark",1,1,"twelve",1,"3:08 PM","8","C","Move within 8","D","","","D"
"195","dark",1,1,"twelve",1,"3:09 PM","10","U","mount","X","Pushed against wall","","X"
"196","dark",1,1,"twelve",1,"3:10 PM","11","T","Enter 11","unknown","","",NA
"197","dark",1,1,"twelve",1,"3:11 PM","12","S","Exit 12","unknown","","",NA
"198","dark",1,1,"twelve",1,"3:13 PM","10","I","Move within 10","X","","","X"
"199","dark",1,1,"twelve",1,"3:15 PM","Open","unknown","Bump","S","Ran away","","S"
"200","dark",1,1,"twelve",1,"3:16 PM","4","K","Enter 4","unknown","","",NA
"201","dark",1,1,"twelve",1,"3:16 PM","7","U","Left 7","unknown","","",NA
"202","dark",1,1,"twelve",1,"3:18 PM","8","B","Enter 8","unknown","","",NA
"203","dark",1,1,"twelve",1,"3:20 PM","12","U","Enter 12","unknown","","",NA
"204","dark",1,1,"twelve",1,"3:20 PM","7","L","Move within 7","unknown","No longer with .5","",NA
"205","dark",1,1,"twelve",1,"3:23 PM","4","K","Left 4","unknown","was touched by 9. and ran away","",NA
"206","dark",1,1,"twelve",1,"3:24 PM","7","L","Move within 7","F","","","F"
"207","dark",1,1,"twelve",1,"3:28 PM","2","T","Enter 2","P","Ran away","","P"
"208","dark",1,1,"twelve",1,"3:30 PM","2","J","mount","P","Ran away","","P"
"209","dark",1,1,"twelve",1,"3:31 PM","2","J","Exit 2","unknown","","",NA
"210","dark",1,1,"twelve",1,"3:31 PM","2","P","Exit 2","unknown","","",NA
"211","dark",1,1,"twelve",1,"3:31 PM","Outside 7","G","mating","M","Walking around","","M"
"212","dark",1,1,"twelve",1,"3:33 PM","1","J","mount","O","Ran away","","O"
"213","dark",1,1,"twelve",1,"3:33 PM","Open","D","mating","U","Walking around","","U"
"214","dark",1,1,"twelve",1,"3:34 PM","12","S","Enter 12","unknown","","",NA
"215","dark",1,1,"twelve",1,"3:35 PM","11","O","Enter 11","unknown","","",NA
"216","dark",1,1,"twelve",1,"3:35 PM","8","P","Enter 8","unknown","","",NA
"217","dark",1,1,"twelve",1,"3:36 PM","8","K","Enter 8","unknown","","",NA
"218","dark",1,1,"twelve",1,"3:37 PM","Open","D","mount","V","Ran away","","V"
"219","dark",1,1,"twelve",1,"3:37 PM","11","V","Enter 11","unknown","","",NA
"220","dark",1,1,"twelve",1,"3:35 PM","11","A","Enter 11","O","","","O"
"221","dark",1,1,"twelve",1,"3:39 PM","11","A","Exit 11","unknown","","",NA
"222","dark",1,1,"twelve",1,"3:40 PM","12","S","Exit 12","unknown","","",NA
"223","dark",1,1,"twelve",1,"3:40 PM","12","P","Exit 12","unknown","","",NA
"224","dark",1,1,"twelve",1,"3:41 PM","12","L","Enter 12","unknown","","",NA
"225","dark",1,1,"twelve",1,"3:41 PM","8","J","Enter 8","unknown","","",NA
"226","dark",1,1,"twelve",1,"3:42 PM","8","J","mount","B","Moved away","","B"
"227","dark",1,1,"twelve",1,"3:43 PM","8","B","Move within 8","C","","","C"
"228","dark",1,1,"twelve",1,"3:43 PM","8","J","Exit 8","unknown","","",NA
"229","dark",1,1,"twelve",1,"3:43 PM","8","K","Exit 8","unknown","","",NA
"230","dark",1,1,"twelve",1,"3:44 PM","10","K","Enter 9","unknown","","",NA
"231","dark",1,1,"twelve",1,"3:46 PM","Open","J","mount","M","Ran away","","M"
"232","dark",1,1,"twelve",1,"3:47 PM","10","I","Move within 10","unknown","","",NA
"233","dark",1,1,"twelve",1,"4:06 PM","12","P","Exit 12","unknown","","",NA
"234","dark",1,1,"twelve",1,"4:07 PM","8","S","Enter 8","unknown","","",NA
"235","dark",1,1,"twelve",1,"4:08 PM","9","C","Move within 9","H","","","H"
"236","dark",1,1,"twelve",1,"4:10 PM","10","F","Move within 10","unknown","Joined the big aggregation","",NA
"237","dark",1,1,"twelve",1,"4:10 PM","10","J","Move within 10","unknown","Left the big aggregation","",NA
"238","dark",1,1,"twelve",1,"4:11 PM","10","F","mount","J","Left big aggregation","","J"
"239","dark",1,1,"twelve",1,"4:12 PM","10","J","Exit 10","unknown","","",NA
"240","dark",1,1,"twelve",1,"4:12 PM","7","J","Enter 7","unknown","","",NA
"241","dark",1,1,"twelve",1,"4:13 PM","7","J","mount","U","Ran away","","U"
"242","dark",1,1,"twelve",1,"4:13 PM","7","U","Exit 7","unknown","","",NA
"243","dark",1,1,"twelve",1,"4:16 PM","Open","B","mount","T","","","T"
"244","dark",1,1,"twelve",1,"4:18 PM","10","unknown","Enter 10","unknown","","",NA
"245","dark",1,1,"twelve",1,"4:20 PM","10","W","Move within 10","I","","","I"
"246","dark",1,1,"twelve",1,"4:21 PM","10","V","Move within 10","unknown","Left 1: and 3.","",NA
"247","dark",1,1,"twelve",1,"4:27 PM","8","T","Enter 8","unknown","","",NA
"248","dark",1,1,"twelve",1,"4:31 PM","8","K","mount","V","Both ran away and exited 10","","V"
"249","dark",1,1,"twelve",1,"4:31 PM","8","K","mount","P","Both ran away and exited 10","","P"
"250","dark",1,1,"twelve",1,"4:34 PM","5","F","Enter 5","unknown","","",NA
"251","dark",1,1,"twelve",1,"4:35 PM","2","V","Enter 2","unknown","","",NA
"252","dark",1,1,"twelve",1,"4:35 PM","5","F","Exit 5","unknown","","",NA
"253","dark",1,1,"twelve",1,"4:36 PM","5","G","Exit 5","unknown","","",NA
"254","dark",1,1,"twelve",1,"4:36 PM","2","V","Exit 2","unknown","","",NA
"255","dark",1,1,"twelve",1,"4:36 PM","7","V","Enter 7","unknown","","",NA
"256","dark",1,1,"twelve",1,"4:36 PM","7","V","Exit 7","unknown","","",NA
"257","dark",1,1,"twelve",1,"4:37 PM","12","T","Enter 12","unknown","","",NA
"258","dark",1,1,"twelve",1,"4:38 PM","10","F","Enter 5","unknown","","",NA
"259","dark",1,1,"twelve",1,"4:40 PM","3","V","Enter 3","unknown","","",NA
"260","dark",1,1,"twelve",1,"4:41 PM","10","F","Move within 10","unknown","No longer with anyone","",NA
"261","dark",1,1,"twelve",1,"4:42 PM","10","K","Exit 10","unknown","","",NA
"262","dark",1,1,"twelve",1,"4:42 PM","11","K","Enter 11","unknown","","",NA
"263","dark",1,1,"twelve",1,"4:43 PM","11","K","Exit 11","unknown","","",NA
"264","dark",1,1,"twelve",1,"4:45 PM","8","F","Enter 8","unknown","","",NA
"265","dark",1,1,"twelve",1,"4:47 PM","7","V","Enter 7","unknown","","",NA
"266","dark",1,1,"twelve",1,"4:49 PM","9","O","mount","S","","","S"
"267","dark",1,1,"twelve",1,"4:49 PM","9","U","Enter 9","unknown","","",NA
"268","dark",1,1,"twelve",1,"4:50 PM","9","C","Exit 9","unknown","","",NA
"269","dark",1,1,"twelve",2,"10:12 AM","12","R","move within shelter","unknown","N/A","",NA
"270","dark",1,1,"twelve",2,"10:16 AM","2","E","move within shelter","unknown","N/A",".4 and .6 now in contact ",NA
"271","dark",1,1,"twelve",2,"10:22 AM","12","R","exit shelter ","unknown","N/A","",NA
"272","dark",1,1,"twelve",2,"10:29 AM","10","C","move within shelter","unknown","N/A","",NA
"273","dark",1,1,"twelve",2,"10:36 AM","2","E","exit shelter ","unknown","N/A","",NA
"274","dark",1,1,"twelve",2,"10:38 AM","12","N","move within shelter","unknown","N/A","",NA
"275","dark",1,1,"twelve",2,"10:40 AM","12","R","entering a shelter ","unknown","N/A","",NA
"276","dark",1,1,"twelve",2,"10:42 AM","2","E","exit shelter ","unknown","N/A","",NA
"277","dark",1,1,"twelve",2,"10:49 AM","12","R","exit shelter ","unknown","N/A","",NA
"278","dark",1,1,"twelve",2,"10:51 AM","12","R","entering a shelter ","unknown","N/A","",NA
"279","dark",1,1,"twelve",2,"10:52 AM","12","L","exit shelter ","unknown","N/A","",NA
"280","dark",1,1,"twelve",2,"11:00 AM","10","C","moved within 10","unknown","N/A","left .8 and 3.",NA
"281","dark",1,1,"twelve",2,"11:06 AM","10","C","Exit 10","unknown","N/A","",NA
"282","dark",1,1,"twelve",2,"11:06 AM","Outside 10","C","Bump","R","Ran away","","R"
"283","dark",1,1,"twelve",2,"11:07 AM","10","M","Moved within 10","unknown","Left 9.","",NA
"284","dark",1,1,"twelve",2,"11:12 AM","10","M","Exit 10","unknown","N/A","",NA
"285","dark",1,1,"twelve",2,"11:13 AM","Outside 10","C","mount","M","Staying still","","M"
"286","dark",1,1,"twelve",2,"11:14 AM","Outside 10","C","mount","M","Move away a little","","M"
"287","dark",1,1,"twelve",2,"11:16 AM","10","C","Enter 10","unknown","N/A","",NA
"288","dark",1,1,"twelve",2,"11:23 AM","12","N","move within shelter","L","N/A","","L"
"289","dark",1,1,"twelve",2,"11:27 AM","12","L","mating","N","Run around","Ran into 0: and 7. (all remained together after)","N"
"290","dark",1,1,"twelve",2,"11:30 AM","12","L","moved within 12","unknown","No longer with 0:, 7., and 1.","",NA
"291","dark",1,1,"twelve",2,"11:31 AM","2","E","Enter 2","F","N/A","","F"
"292","dark",1,1,"twelve",2,"11:31 AM","7","O","Moved within 7","unknown","No longer with .9","",NA
"293","dark",1,1,"twelve",2,"11:33 AM","10","C","Enter 10","unknown","N/A","",NA
"294","dark",1,1,"twelve",2,"11:33 AM","12","L","Moved within 12","unknown","Joined 0:, 7., 1.","",NA
"295","dark",1,1,"twelve",2,"11:41 AM","Open","M","Bump","R","N/A","","R"
"296","dark",1,1,"twelve",2,"12:05 PM","2","N","Enter 2","E","N/A","","E"
"297","dark",1,1,"twelve",2,"12:05 PM","2","F","Moved within 2","unknown","1. Ran away","",NA
"298","dark",1,1,"twelve",2,"12:06 PM","2","N","Exit 2","unknown","","",NA
"299","dark",1,1,"twelve",2,"12:09 PM","8","A","Moved within 8","unknown","No longer with :0","",NA
"300","dark",1,1,"twelve",2,"12:10 PM","8","A","mount","K","","","K"
"301","dark",1,1,"twelve",2,"12:21 PM","Open","M","Bump","N","Ran away","","N"
