light_phase,network,block,treatment,day,time,location,focal_individual,behaviour,social_partner,partner_response,notes,,,,,,,,,,,
dark,1,1,twelve,1,12:25 PM,12,6.,Exit 12,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,12:25 PM,8,1:,Exit 8,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,12:26 PM,4,3.,Enter 4,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,12:26 PM,Open,:0,Mating,1:,Running around,,,,,,,,,,,,
dark,1,1,twelve,1,12:27 PM,Outside 2,.4,Mount ,:0,,Mounted :0 who was mating with 1:,,,,,,,,,,,
dark,1,1,twelve,1,12:28 PM,5,.3,Move within 5,N/A,No longer with 1.,,,,,,,,,,,,
dark,1,1,twelve,1,12:30 PM,1,:0,Enter 1,"0., 8., .9, .5",,,,,,,,,,,,,
dark,1,1,twelve,1,12:32 PM,11,0.,Left 11,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,12:33 PM,12,.0,Exit 12,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,12:34 PM,Open,1:,Bump,6.,Ran away,,,,,,,,,,,,
dark,1,1,twelve,1,12:35 PM,3,6.,Enter 3,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,12:37 PM,11,.1,Enter 11,:1,,,,,,,,,,,,,
dark,1,1,twelve,1,12:39 PM,5,.3,Exit 5,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,12:39 PM,3,6.,Exit 3,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,12:40 PM,8,.0,Enter 8,5.,,,,,,,,,,,,,
dark,1,1,twelve,1,12:41 PM,Open,.0,Mount,6.,Ran away,,,,,,,,,,,,
dark,1,1,twelve,1,12:41 PM,8,0.,Move within 8,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,12:45 PM,9,9.,Exit 9,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,12:46 PM,Open,.1,Mating,9.,"Running around, entered 2",,,,,,,,,,,,
dark,1,1,twelve,1,12:47 PM,2,.2,Mount,9.,,Tried to mount 9. while .1 was mating with her which ended the mating,,,,,,,,,,,
dark,1,1,twelve,1,12:48 PM,2,9.,Exit 2,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,12:48 PM,3,9.,Enter 3,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,12:49 PM,12,.3,Enter 12,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,12:50 PM,8,0.,Exit 8,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,12:50 PM,9,0.,Enter 9,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,1:01 PM,4,7.,Exit 4,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,1:04 PM,Feeder,1:,Feeding,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,1:06 PM,Feeder,1.,Approach feeder,N/A,,Ran away,,,,,,,,,,,
dark,1,1,twelve,1,1:07 PM,Feeder,3.,Feeding,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,1:07 PM,7,1:,Enter 7,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,1:08 PM,Outside 2,.1,Mount,1.,Ran away into 2,,,,,,,,,,,,
dark,1,1,twelve,1,1:09 PM,Outside 4,.0,Mount,7.,Ran away,,,,,,,,,,,,
dark,1,1,twelve,1,1:11 PM,8,3.,Enter 8,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,1:14 PM,Feeder,.0,Approach feeder,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,1:18 PM,Feeder,.0,Attempt feeding,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,1:18 PM,1,.5,Moved within 1,N/A,"No longer with .9, 8., and :0",,,,,,,,,,,,
dark,1,1,twelve,1,1:19 PM,10,.7,Enter 10,.8,,,,,,,,,,,,,
dark,1,1,twelve,1,1:21 PM,10,.7,Moved within 10,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,1:23 PM,Feeder,7.,Feeding,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,1:23 PM,1,.9,Moved within 1,N/A,No longer with 8. and :0,,,,,,,,,,,,
dark,1,1,twelve,1,1:24 PM,10,.7,Mount,8.,Shake and ran away,,,,,,,,,,,,
dark,1,1,twelve,1,1:24 PM,1,.9,Moved within 1,:0 and 8.,,,,,,,,,,,,,
dark,1,1,twelve,1,1:26 PM,8,0.,Enter 8,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,1:26 PM,8,3.,Left 8,N/A,Was touched by 0. and ran away,,,,,,,,,,,,
dark,1,1,twelve,1,1:27 PM,7,3.,Enter 7,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,1:27 PM,Feeder,9.,Feeding,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,1:28 PM,4,.3,Mating,0.,Walked around,,,,,,,,,,,,
dark,1,1,twelve,1,1:29 PM,Outside 8,.0,Mount,5.,Ran away,,,,,,,,,,,,
dark,1,1,twelve,1,1:31 PM,Feeder,5.,Attempt feeding,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,1:32 PM,3,9.,Enter 3,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,1:34 PM,10,.8,Mount,4.,Ran away,,,,,,,,,,,,
dark,1,1,twelve,1,1:35 PM,10,4.,Exit 10,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,1:35 PM,1,:0,Exit 1,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,1:36 PM,1,.5,Exit 1,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,1:36 PM,1,.9,Moved within 1,N/A,No longer with anyone,,,,,,,,,,,,
dark,1,1,twelve,1,1:37 PM,Feeder,2.,Attempt feeding,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,1:38 PM,Feeder,5.,Attempt feeding,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,1:39 PM,1,:0,Enter 1,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,1:40 PM,10,7.,Enter 10,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,1:42 PM,Outside 2,.1,Mount,.2,,,,,,,,,,,,,
dark,1,1,twelve,1,1:43 PM,Outside 1,.4,Mount ,.7,Ran away,,,,,,,,,,,,
dark,1,1,twelve,1,1:43 PM,Feeder,.1,Feeding,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,1:45 PM,1,.1,Enter 7,,,,,,,,,,,,,,
dark,1,1,twelve,1,1:46 PM,1,:0,Mount ,8.,Ran away,,,,,,,,,,,,
dark,1,1,twelve,1,1:46 PM,Outside 1,.4,Mating,5.,,,,,,,,,,,,,
dark,1,1,twelve,1,1:48 PM,7,.1,Mount,1:,1: is tightly against wall,,,,,,,,,,,,
dark,1,1,twelve,1,1:48 PM,1,.9,Mount,8.,,,,,,,,,,,,,
dark,1,1,twelve,1,2:08 PM,6,:1,Enter 6,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,2:09 PM,11,2.,Enter 11,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,2:09 PM,10,.3,Enter 10,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,2:10 PM,Outside 10,:1,Mating,6.,Walk around,,,,,,,,,,,,
dark,1,1,twelve,1,2:12 PM,Feeder,.2,Mount,.1,Run away,,,,,,,,,,,,
dark,1,1,twelve,1,2:14 PM,6,0:,Enter  6,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,2:14 PM,Feeder,.2,Attempt feeding,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,2:17 PM,Feeder,8.,Attempt feeding,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,2:17 PM,Open,.1,Mount,8.,Ran away,.9 also mounted them which broke up the mounting,,,,,,,,,,,
dark,1,1,twelve,1,2:17PM,open,.9,mount,.1,unknown,.1 was mounted on 8.,,,,,,,,,,,
dark,1,1,twelve,1,2:18 PM,Open,:1,Mount,1:,Ran away,0,,,,,,,,,,,
dark,1,1,twelve,1,2:19 PM,8,1:,Enter 8,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,2:22 PM,8,1:,Exit 8,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,2:22 PM,2,1:,Enter 2,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,2:26 PM,7,:1,Enter 7,".5, .1, .2, .9",,not sure when this aggregation formed,,,,,,,,,,,
dark,1,1,twelve,1,2:30 PM,Feeder,.0,Feeding,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,2:30 PM,Feeder,7.,Feeding,N/A,,Feeding again,,,,,,,,,,,
