,light_phase,network,block,treatment,day,time,time_sec,time_hour_abs,location,focal_individual,behaviour,social_partner,partner_response,notes,patch_partner
79,dark,1,1,twelve,2,1:12 PM,47520.00,37.20,Outside 7,K,mount,E,Exit 7,,E
80,dark,1,1,twelve,2,1:13 PM,47580.00,37.22,8,B,mount,A,.1 stopped shortly,,A
81,dark,1,1,twelve,2,1:22 PM,48120.00,37.37,8,B,mount,K,Run away,,K
82,dark,1,1,twelve,2,1:36 PM,48960.00,37.60,8,B,mount,K,Ran away,,K
83,dark,1,1,twelve,2,1:38 PM,49080.00,37.63,Open,K,mount,N,N/A,,N
84,dark,1,1,twelve,2,1:40 PM,49200.00,37.67,Open,E,mount,N,Ran away,,N
85,dark,1,1,twelve,2,1:42 PM,49320.00,37.70,8,B,mount,A,Ran away,,A
86,dark,1,1,twelve,2,1:44 PM,49440.00,37.73,8,B,mount,A,.1 stopped shortly,,A
87,dark,1,1,twelve,2,1:45 PM,49500.00,37.75,8,B,mount,A,.1 stopped shortly,,A
88,dark,1,1,twelve,2,1:45 PM,49500.00,37.75,9,H,mating,X,N/A,,X
89,dark,1,1,twelve,2,1:47 PM,49620.00,37.78,8,A,mount,B,N/A,,B
90,dark,1,1,twelve,2,1:49 PM,49740.00,37.82,12,L,mount,R,Ran away and exited 12,,R
91,dark,1,1,twelve,2,2:13 PM,51180.00,38.22,Open,E,mount,R,Nothing,.4 looked like it was going to mate and then just stopped and left,R
92,dark,1,1,twelve,2,2:16 PM,51360.00,38.27,7,E,mount,O,Ran away and exited 7,,O
93,dark,1,1,twelve,2,2:26 PM,51960.00,38.43,12,K,mount,T,Ran away,,T
94,dark,1,1,twelve,2,3:19 PM,55140.00,39.32,1,D,mating,U,N/A,,U
95,dark,1,1,twelve,2,3:35 PM,56100.00,39.58,10,I,mount,E,N/A,,E
96,dark,1,1,twelve,2,3:36 PM,56160.00,39.60,10,I,mount,E,N/A,,E
97,dark,1,1,twelve,2,3:48 PM,56880.00,39.80,10,I,mount,E,N/A,,E
98,dark,1,1,twelve,3,11:06 AM,39960.00,59.10,10,K,mount,I,N/A,":0 quickly got off, everyone aggregating together now",I
99,dark,1,1,twelve,3,11:09 AM,40140.00,59.15,10,E,mating,S,Running around,,S
100,dark,1,1,twelve,3,11:11 AM,40260.00,59.18,10,U,mount,E,,,E
101,dark,1,1,twelve,3,11:17 AM,40620.00,59.28,10,I,mating,S,Ran away,Running around with .8 on her and pushed .4 out of the shelter and .2 out of aggregation,S
102,dark,1,1,twelve,3,11:21 AM,40860.00,59.35,10,I,mount,C,N/A,.8 eventually moved off,C
103,dark,1,1,twelve,3,11:21 AM,40860.00,59.35,10,K,mount,I,N/A,:0 moved off quickly,I
104,dark,1,1,twelve,3,11:29 AM,41340.00,59.48,10,I,mount,C,N/A,.8 eventually just got off,C
105,dark,1,1,twelve,3,12:14 PM,44040.00,60.23,10,I,mount,S,Ran away,,S
106,dark,1,1,twelve,3,12:17 PM,44220.00,60.28,Open,D,mount,U,Ran away,Looked like mating but ended after ~15-20 seconds,U
107,dark,1,1,twelve,3,12:20 PM,44400.00,60.33,10,I,mount,C,N/A,.8 got off shortly,C
