,block,treatment,network,name,sex,size,strength,matings,unique_mates,mating_rate,mounts_in,mounts_in_rate,SCI_weighted
106,3,two,5,M,Female,1.31,3.139957525,8,6,1.333333333,47,7.833333333,NA
107,3,two,5,N,Female,1.43,4.547146188,3,3,0.5,24,4,NA
108,3,two,5,O,Female,1.28,2.95316645,8,4,1.333333333,48,8,NA
109,3,two,5,P,Female,1.44,4.483054237,1,1,0.166666667,30,5,NA
110,3,two,5,Q,Female,1.36,3.745599095,1,1,0.166666667,36,6,NA
111,3,two,5,R,Female,1.48,1.940454218,3,2,0.5,83,13.83333333,NA
112,3,two,5,S,Female,1.39,4.032332978,4,2,0.666666667,51,8.5,NA
113,3,two,5,T,Female,1.52,4.123245988,4,4,0.666666667,51,8.5,NA
114,3,two,5,U,Female,1.46,4.042128528,7,5,1.166666667,33,5.5,NA
115,3,two,5,V,Female,1.41,2.571001184,7,3,1.166666667,52,8.666666667,NA
116,3,two,5,W,Female,1.46,2.248412797,6,6,1,44,7.333333333,NA
117,3,two,5,X,Female,1.41,2.942195347,2,2,0.333333333,33,5.5,NA
118,3,twelve,6,A,Male,1.39,1.328907799,2,2,0.333333333,9,1.5,7
119,3,twelve,6,B,Male,1.31,0.61857381,3,2,0.5,4,0.666666667,3.733333333
120,3,twelve,6,C,Male,1.43,0.670834316,5,5,0.833333333,27,4.5,2.857142857
121,3,twelve,6,D,Male,1.31,0.75845638,3,3,0.5,3,0.5,1.826086957
122,3,twelve,6,E,Male,1.25,0.636219212,1,1,0.166666667,5,0.833333333,2
123,3,twelve,6,F,Male,1.28,0.709009227,5,4,0.833333333,3,0.5,2.978723404
124,3,twelve,6,G,Male,1.36,0.783617738,6,4,1,7,1.166666667,1.958041958
125,3,twelve,6,H,Male,1.41,0.950574512,2,2,0.333333333,15,2.5,7
126,3,twelve,6,I,Male,1.31,0.825728531,2,2,0.333333333,18,3,3.111111111
127,3,twelve,6,J,Male,1.34,0.468013359,1,1,0.166666667,6,1,7
128,3,twelve,6,K,Male,1.33,0.596694597,3,3,0.5,15,2.5,3.559322034
129,3,twelve,6,L,Male,1.31,0.520084643,9,6,1.5,13,2.166666667,3.021582734
130,3,twelve,6,M,Female,1.48,0.823495069,7,6,1.166666667,39,6.5,NA
131,3,twelve,6,N,Female,1.38,0.75698872,2,2,0.333333333,25,4.166666667,NA
132,3,twelve,6,O,Female,1.36,1.133645455,2,2,0.333333333,39,6.5,NA
133,3,twelve,6,P,Female,1.36,1.130556741,2,1,0.333333333,12,2,NA
134,3,twelve,6,Q,Female,1.49,1.13224171,7,7,1.166666667,25,4.166666667,NA
135,3,twelve,6,R,Female,1.46,0.713345356,4,3,0.666666667,18,3,NA
136,3,twelve,6,S,Female,1.39,1.03910269,4,3,0.666666667,27,4.5,NA
137,3,twelve,6,T,Female,1.36,0.739770154,4,2,0.666666667,21,3.5,NA
138,3,twelve,6,U,Female,1.39,1.147695399,2,2,0.333333333,24,4,NA
139,3,twelve,6,V,Female,1.46,0.512233953,1,1,0.166666667,7,1.166666667,NA
140,3,twelve,6,W,Female,1.43,1.047845922,2,2,0.333333333,22,3.666666667,NA
141,3,twelve,6,X,Female,1.41,0.876632591,5,4,0.833333333,26,4.333333333,NA
